Список государственных ведомств,,,,,
Ведомство,Департамент,Должность,Имя,Начало работы,Конец работы
,Департамент цифровой трансформации,Директор департамента,"Никитин
 Игорь Николаевич",11.02.2021,18 июня 2025
,Департамент региональной политики,Директор департамента,Косткин Дмитрий Сергеевич,17 октября 2022,
,Департамент стратегического планирования и координации национального проекта «Эффективная и конкурентная экономика»,Директор департамента,"Вейнблат
 Олеся Александровна",15 апреля 2025,
,Департамент социально-экономического развития Северо-Кавказского федерального округа,Директор департамента,"Харсиев
 Михаил Исаевич",23 апреля 2025 г.,
,Управление специальных программ и проектов,Начальник,"Мельник
 Антон Валерьевич",24 января 2024 г.,
,Управление внешних коммуникаций,Начальник,"Левченко
 Дарья Владимировна",21 августа 2024,
,Департамент мониторинга реализации национальных проектов,Директор департамента,"Султанов
 Назим Самедович⠀",март 2020 г.,март 2021 г.
,Департамент реализации региональных инвестиционных программ,Директор департамента,"Косткин
 Дмитрий Сергеевич",май 2022 г.,октябрь 2022 г.
,,,,,
Министерство финансов РФ,,Министр финансов РФ,Касьянов Михаил Михайлович,,18 мая 2000
,,Министр финансов РФ,Кудрин Алексей Леонидович,18 мая 2000,26 сентября 2011
,,Министр финансов РФ,Силуанов Антон Германович,16 декабря 2011,
,,Первый заместитель министра,Шаталов Сергей Дмитриевич,январь 2000 г.,октябрь 2005 г.
,,Статс-секретарь - заместитель Министра,,ноябрь 2005 г.,18 января 2016 г.
,,Статс-секретарь - заместитель Министра,Зубарев Юрий Иванович,18 июля 2013 г.,22 января 2020
,,Заместитель Министра финансов РФ,Панкин Дмитрий Владимирович,январь 2008 г.,2011-2013 гг.
,,Заместитель Министра финансов РФ,Фаррахов Айрат Закиевич,5 июня 2014,30 сентября 2016
,,Заместитель Министра финансов РФ,Орешкин Максим Станиславович,3 мая 2015,30 ноября 2016 г.
,,Заместитель Министра финансов РФ,Трунин Илья Вячеславович,13 февраля 2016,22 января 2020
,,Заместитель Министра финансов РФ,Котяков Антон Олегович,4 мая 2017,22 января 2020
,,Заместитель Министра финансов РФ,Круглов Андрей Вячеславович,18 мая 2019,12 февраля 2021
,,Заместитель Министра финансов РФ,Дроздов Антон Викторович,22 января 2020,3 февраля 2021
,,Заместитель Министра финансов РФ,Котюков Михаил Михайлович,2 марта 2020,21 апреля 2023
,,Заместитель Министра финансов РФ,Максимов Тимур Игоревич,3 марта 2020,23 октября 2023
,,Заместитель Министра финансов РФ,Горнин Леонид Владимирович,25 мая 2018,17 июня 2024
,,Первый заместитель Министра финансов РФ,Окладникова Ирина Андреевна,25 июня 2024,
,,Заместитель Министра финансов РФ,Лавров Алексей Михайлович,15 июня 2011 г.,июль 2025 г.
,,Заместитель Министра финансов РФ,Моисеев Алексей Владимирович,7 июля 2012 г.,
,,Заместитель Министра финансов РФ,Колычев Владимир Владимирович,8 февраля 2017 г.,
,,Заместитель Министра финансов РФ,Сазанов Алексей Валерьевич,2017 г.,
,,Заместитель Министра финансов РФ,Кадочников Павел Анатольевич,27 января 2020 г.,
,,Заместитель Министра финансов РФ,Чебесков Иван Александрович,27 ноября 2023 г.,
,,Заместитель Министра финансов РФ,Липаев Алексей Анатольевич,25 июня 2024 г.,
,,Заместитель Министра финансов РФ,Яковлева Елена Павловна,25 июня 2024 г.,
,Департамент бюджетных кредитов и гарантий,Директор департамента,Елин Евгений Иванович,,2004
,Департамент управления делами и контроля,Директор департамента,Дербенев Евгений Анатольевич,2024 г.,
,Департамент бюджетной методологии,Директор департамента,Романов Сергей Владимирович,2013 г.,
,Департамент налоговой политики,Директор департамента,Волков Данил Вертолиевич,2023 г.,
,Департамент государственного долга и государственных финансовых активов,Директор департамента,Мамонов Денис Андреевич,30.12.2009,
,Департамент финансовой политики,Директор департамента,Чебесков Иван Александрович,2020 г.,2023 г.
,Департамент межбюджетных отношений,Директор департамента,Ерошкина Лариса Александровна,2009 г.,
,"Департамент регулирования бухгалтерского учёта, финансовой отчётности и аудиторской деятельности",Директор департамента,Шнейдман Леонид Зиновьевич,13.05.2004,
,Правовой департамент,Директор департамента,Скобелев Александр Владимирович,2017 г.,
,"Департамент бюджетной политики в сфере транспорта, дорожного хозяйства, гражданского строительства, экологии и природопользования",Директор департамента,Тончев Павел Иванович,2024 г.,
,Департамент бюджетной политики в сфере государственной военной и правоохранительной службы и государственного оборонного заказа,Директор департамента,Попов Анатолий Александрович,2013 г.,
,Административный департамент,Директор департамента,Штоп Владимир Викторович,2021 г.,
,Департамент бюджетной политики в отраслях социальной сферы и науки,Директор департамента,Гашкина Светлана Антоновна,2014 г.,
,Департамент бюджетной политики в сфере труда и социальной защиты,Директор департамента,Курбанов Курбан Темирланович,02.04.2019,
,"Департамент бюджетной политики в сфере государственного управления, судебной системы, государственной гражданской службы",Директор департамента,Яковлева Елена Павловна,2011 г.,2024 г.
,Департамент бюджетной политики и стратегического планирования,Директор департамента (и.о.),Домбровский Евгений Александрович,?,
